Molecule,HIV1protease,HIV1protease_method,Hsp90,Hsp90_method,Proteasome,Proteasome_method,Neurodegenerative_1SYH,Neurodegenerative_1SYH_method,Malaria_COPD_4LDE,Malaria_COPD_4LDE_method,COVID19_6Y2F,COVID19_6Y2F_method
1712.pdbqt,-7.6,smina,-7.4,smina,-9.7,smina,-6.2,smina,-0.0,smina,-6.4,smina
977.pdbqt,-2.1,smina,-1.1,smina,-1.5,smina,-1.5,smina,0.0,smina,-1.1,smina
17851.pdbqt,-5.2,smina,-4.6,smina,-6.0,smina,-4.7,smina,-0.0,smina,-4.5,smina
7801.pdbqt,,Failed,,Failed,,Failed,,Failed,,Failed,,Failed
4550.pdbqt,-6.0,smina,-6.2,smina,-8.0,smina,-6.1,smina,-0.0,smina,-6.0,smina
20778.pdbqt,-4.8,smina,-4.6,smina,-5.7,smina,-4.2,smina,-0.0,smina,-4.0,smina
11029.pdbqt,,Failed,,Failed,,Failed,,Failed,,Failed,,Failed
