Molecule,Fluorescence_energy_eV,Singlet_Triplet_gap_eV,Oscillator_strength,Total_energy_eV,Electronic_energy_eV,Nuclear_repulsion_energy_eV,Lifetime_ns,Multi_Obj,DFT_calculation_time,TDDFT_calculation_time,Status
000000977,8.52055606590674,,1.8900794184023533e-10,-4088.567129689826,-4919.415762034931,830.8486323451039,1679478769.972074,,0:00:00.498216,0:00:00.211462,Success
000001712,1.5302822904082616,0.5166883927185297,0.032081088575329764,-57285.50608900502,-145484.56610019732,88199.0600111924,306.7596597487251,-2.1543250137349386,0:11:21.058550,0:31:20.877815,Success
000004550,0.6154159063482614,0.44412005786056663,7.431377391500286e-05,-25277.804646648885,-63571.26399022871,38293.45934357985,818811.0545947838,-3.0286298377383902,0:04:49.256665,0:10:57.337125,Success
000007801,1.169656550854574,0.005031732953623588,0.0004942220828162393,-20796.71624071585,-47248.32766233993,26451.611421624035,34084.080839271104,-2.0348809600162334,0:02:11.907408,0:06:04.069981,Success
000011029,2.8883919949257537,0.2803303138031918,0.000661815923995686,-12625.820685493813,-17734.62560360681,5108.804918113002,4173.8897217144895,-0.5912765029534426,0:00:03.259921,0:00:02.595414,Success
000017851,0.806245292111962,0.01594638171857301,7.19287299766992e-05,-20443.00945708032,-49166.90470558018,28723.89524849981,492894.1603192321,-2.4096291608766345,0:03:14.966107,0:04:51.078711,Success
000020778,0.9557562815630615,0.02153921371939635,0.00017241613828008893,-28702.299043463692,-57380.18077767022,28677.881734206527,146324.89210890062,-2.265610516018055,0:01:28.064876,0:03:03.399099,Success
