Model,Metric,Target,Mean,Std
Lasso,RMSE,pce_pcbm(%),0.028824369906832736,0.02356357542437695
Lasso,RMSE,voc_pcbm(V),0.028824369906832736,0.02356357542437695
Lasso,RMSE,jsc_pcbm(A.m-2),0.028824369906832736,0.02356357542437695
Lasso,MAE,pce_pcbm(%),-0.24119240821060622,0.020379831838780754
Lasso,MAE,voc_pcbm(V),-0.24119240821060622,0.020379831838780754
Lasso,MAE,jsc_pcbm(A.m-2),-0.24119240821060622,0.020379831838780754
Lasso,R²,pce_pcbm(%),-81410.44993260351,160600.32906513318
Lasso,R²,voc_pcbm(V),-81410.44993260351,160600.32906513318
Lasso,R²,jsc_pcbm(A.m-2),-81410.44993260351,160600.32906513318
Lasso,R,pce_pcbm(%),0.938470219420323,0.015416668281395318
Lasso,R,voc_pcbm(V),0.938470219420323,0.015416668281395318
Lasso,R,jsc_pcbm(A.m-2),0.938470219420323,0.015416668281395318
Linear Regression,RMSE,pce_pcbm(%),0.043057717250247665,0.014269416768938042
Linear Regression,RMSE,voc_pcbm(V),0.043057717250247665,0.014269416768938042
Linear Regression,RMSE,jsc_pcbm(A.m-2),0.043057717250247665,0.014269416768938042
Linear Regression,MAE,pce_pcbm(%),-0.1664284164610796,0.01806023563834764
Linear Regression,MAE,voc_pcbm(V),-0.1664284164610796,0.01806023563834764
Linear Regression,MAE,jsc_pcbm(A.m-2),-0.1664284164610796,0.01806023563834764
Linear Regression,R²,pce_pcbm(%),-830030.9883257512,1637173.529021097
Linear Regression,R²,voc_pcbm(V),-830030.9883257512,1637173.529021097
Linear Regression,R²,jsc_pcbm(A.m-2),-830030.9883257512,1637173.529021097
Linear Regression,R,pce_pcbm(%),0.9729355491624808,0.007891982275466745
Linear Regression,R,voc_pcbm(V),0.9729355491624808,0.007891982275466745
Linear Regression,R,jsc_pcbm(A.m-2),0.9729355491624808,0.007891982275466745
